Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,¿Quién pintó la famosa obra 'La noche estrellada'?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,B
2,¿Qué movimiento artístico se caracteriza por colores intensos y formas geométricas?,Surrealismo,Expresionismo Abstracto,Cubismo,Pop Art,D
3,¿Quién esculpió la estatua de David?,Miguel Ángel,Leonardo da Vinci,Rafael,Donatello,A
4,¿Qué artista es conocido por sus obras con relojes derretidos?,Pablo Picasso,Salvador Dalí,Claude Monet,Van Gogh,B
5,¿Cuál es el color primario en el modelo de color sustractivo?,Rojo,Azul,Amarillo,Verde,C
6,¿Quién pintó la Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C
7,¿Qué movimiento artístico enfatizó la espontaneidad y la mente subconsciente?,Cubismo,Surrealismo,Impresionismo,Barroco,B
8,¿Quién es considerado el padre del arte abstracto moderno?,Piet Mondrian,Wassily Kandinsky,Georgia O'Keeffe,Jackson Pollock,B
9,¿Qué artista del Renacimiento es conocido por sus detallados dibujos anatómicos?,Leonardo da Vinci,Miguel Ángel,Rafael,Donatello,A
10,¿Quién creó la famosa pintura 'La persistencia de la memoria' con relojes derretidos?,Pablo Picasso,Salvador Dalí,Claude Monet,Van Gogh,B
11,¿Qué color está asociado con el movimiento Pop Art?,Rojo,Azul,Amarillo,Verde,C
12,¿Quién es conocido por su obra 'Latas de sopa Campbell'?,Andy Warhol,Roy Lichtenstein,Jackson Pollock,Mark Rothko,A
13,¿Cómo se llama la técnica de crear imágenes al organizar pequeños trozos de vidrio de colores, piedra u otros materiales?,Mosaico,Impasto,Grabado,Decoupage,A
14,¿Qué estilo artístico se caracteriza por representaciones exageradas de la forma humana y colores vivos?,Realismo,Expresionismo Abstracto,Fauvismo,Barroco,C
15,¿Quién es conocido por sus collages de papel recortado y la técnica de 'pintar con tijeras'?,Henri Matisse,Pablo Picasso,Georges Braque,Claude Monet,A
16,En arte, ¿a qué se refiere el término 'claroscuro'?,Uso del color,Juego de luz y sombra,Formas geométricas,Composición abstracta,B
17,¿Qué famosa escultura representa a la diosa griega del amor y la belleza?,El pensador,Venus de Milo,Victoria alada de Samotracia,David,B
18,¿Quién es considerado el fundador del Impresionismo?,Claude Monet,Pierre-Auguste Renoir,Edgar Degas,Édouard Manet,A
19,¿Qué movimiento artístico rechazó la representación tradicional en favor de formas geométricas y colores primarios?,Expresionismo Abstracto,Cubismo,Surrealismo,Constructivismo,B
20,¿Quién pintó 'La joven de la perla'?,Johannes Vermeer,Rembrandt van Rijn,Vincent van Gogh,Jan van Eyck,A
